id_curriculo;codigo;nome_matriz;id_curso;nome_curso;semestre_conclusao_minimo;semestre_conclusao_ideal;semestre_conclusao_maximo;meses_conclusao_minimo;meses_conclusao_ideal;meses_conclusao_maximo;cr_total_minimo;ch_total_minima;ch_optativas_minima;max_eletivos;ch_nao_atividade_obrigatoria;cr_nao_atividade_obrigatorio;ch_atividade_obrigatoria;cr_minimo_semestre;cr_maximo_semestre;ch_minima_semestre;ch_maxima_semestre;periodo_entrada_vigor;ano_entrada_vigor;observacao
22;9245/-5;PEDAGOGIA - BRASÍLIA -  - N - Licenciado;414230;PEDAGOGIA;6;10;14;;;;0;3210;1170;360;2040;0;0;;;180;420;1;2007;
440;8486/-2;DIREITO - BRASÍLIA -  - MT - Bacharel;414220;DIREITO;10;13;16;;;;4;3840;390;360;3150;4;0;;;240;450;2;2017;
261;2259/-5;CIÊNCIAS BIOLÓGICAS - BRASÍLIA -  - N - Licenciado;414392;CIÊNCIAS BIOLÓGICAS;8;11;14;;;;0;3060;1260;360;1800;0;0;;;240;450;2;2013;
273;5509/1;MÚSICA - BRASÍLIA -  - MT - Licenciado;414430;MÚSICA;8;10;12;;;;0;3015;690;360;2325;0;0;;;285;495;1;2016;
184;7218/1;ODONTOLOGIA - BRASÍLIA -  - MT - Cirurgião Dentista;414321;ODONTOLOGIA;10;10;18;;;;0;4065;1065;360;3000;0;0;;;270;480;1;2010;
107;8591/-3;CIÊNCIA POLÍTICA - BRASÍLIA -  - MT - Bacharel;414892;CIÊNCIA POLÍTICA;6;8;12;;;;8;2670;1350;360;1320;8;0;;;240;480;2;2011;
92;5614/-2;MÚSICA - COMPOSIÇÃO - BRASÍLIA -  - MT - Bacharel;414473;MÚSICA - COMPOSIÇÃO;12;14;16;;;;6;3330;1200;360;2130;6;0;;;210;360;2;2007;
139;6297/-5;ENGENHARIA AUTOMOTIVA - BRASÍLIA -  - MT - Bacharel;414919;ENGENHARIA AUTOMOTIVA;10;13;16;;;;0;3615;1200;360;2415;0;0;;;240;480;2;2008;
182;7161/1;SAÚDE COLETIVA - BRASÍLIA -  - N - Bacharel;414291;SAÚDE COLETIVA;8;10;12;;;;0;3225;1350;360;1875;0;0;;;270;420;1;2020;
399;7013/1;FARMÁCIA - BRASÍLIA -  - MT - Bacharel;414906;FARMÁCIA;10;10;18;;;;0;4395;1230;360;3135;0;0;;;240;480;2;2016;
453;6289/1;ENGENHARIA DE ENERGIA - BRASÍLIA -  - MT - Bacharel;414922;ENGENHARIA DE ENERGIA;10;10;16;;;;0;3735;1485;360;2250;0;0;;;240;435;1;2018;
181;7111/-3;MEDICINA - BRASÍLIA -  - MT - Médico;414280;MEDICINA;10;14;18;;;;0;7200;3510;360;3690;0;0;;;285;570;1;2010;
