id_curso,nome,id_coordenador,coordenador,situacao_curso,nivel_ensino,grau_academico,modalidade_educacao,area_conhecimento,tipo_oferta,turno,tipo_ciclo_formacao,municipio,campus,id_unidade_responsavel,unidade_responsavel,website,data_funcionamento,codigo_inep,dou,portaria_reconhecimento,convenio_academico,nome_curso_norm,turno_norm,campus_norm,grau_academico_norm,area_conhecimento_norm,unidade_responsavel_norm
414345,ENGENHARIA AMBIENTAL,16924,Thaisa Reitter de Bem,ATIVO,,Engenheiro,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,437,DEPTO ENGENHARIA CIVIL E AMBIENTAL,,2015-12-14,1140035,2015-12-02,932,,ENGENHARIA AMBIENTAL,MATUTINO E VESPERTINO,DARCY RIBEIRO,ENGENHEIRO,ENGENHARIAS,DEPTO ENGENHARIA CIVIL E AMBIENTAL
414919,ENGENHARIA AUTOMOTIVA,17485,Andalecio Bralho Capelletti,ATIVO,,Bacharel,Presencial,Outra,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DO GAMA,673,FACULDADE DO GAMA,,2017-12-26,112889,2018-12-22,23,,ENGENHARIA AUTOMOTIVA,MATUTINO E VESPERTINO,FACULDADE DO GAMA,BACHAREL,OUTRA,FACULDADE DO GAMA
414350,ENGENHARIA CIVIL,9203,LENILDO SANTOS DA SILVA,ATIVO,,Engenheiro Civil,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,437,DEPTO ENGENHARIA CIVIL E AMBIENTAL,,2015-12-14,136,2015-12-30,1096,,ENGENHARIA CIVIL,MATUTINO E VESPERTINO,DARCY RIBEIRO,ENGENHEIRO CIVIL,ENGENHARIAS,DEPTO ENGENHARIA CIVIL E AMBIENTAL
414610,ENGENHARIA DE COMPUTAÇÃO,7621,JOAO JOSE COSTA GONDIM,ATIVO,,Bacharel,Presencial,Ciências Exatas e da Terra,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,508,DEPTO CIÊNCIAS DA COMPUTAÇÃO,,2015-12-14,122204,2015-12-30,1096,,ENGENHARIA DE COMPUTACAO,MATUTINO E VESPERTINO,DARCY RIBEIRO,BACHAREL,CIENCIAS EXATAS E DA TERRA,DEPTO CIENCIAS DA COMPUTACAO
414922,ENGENHARIA DE ENERGIA,5271,FELIPE CHAGAS STORTI,ATIVO,,Bacharel,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DO GAMA,673,FACULDADE DO GAMA,,2018-02-26,112872,2016-06-23,211,,ENGENHARIA DE ENERGIA,MATUTINO E VESPERTINO,FACULDADE DO GAMA,BACHAREL,ENGENHARIAS,FACULDADE DO GAMA
414326,ENGENHARIA DE PRODUÇÃO,11966,Sperendio Darroite Dorvalina,ATIVO,,Bacharel,Presencial,Engenharias,Semestral,Noturno,Um ciclo,BRASÍLIA,DARCY RIBEIRO,429,FACULDADE DE  TECNOLOGIA,,2015-12-14,122206,2015-12-02,932,,ENGENHARIA DE PRODUCAO,NOTURNO,DARCY RIBEIRO,BACHAREL,ENGENHARIAS,FACULDADE DE TECNOLOGIA
414330,ENGENHARIA DE REDES DE COMUNICAÇÃO,3514,DANIEL GUERREIRO E SILVA,ATIVO,,Bacharel,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,443,DEPTO ENGENHARIA ELETRICA,,2016-03-02,18033,2015-12-30,1096,,ENGENHARIA DE REDES DE COMUNICACAO,MATUTINO E VESPERTINO,DARCY RIBEIRO,BACHAREL,ENGENHARIAS,DEPTO ENGENHARIA ELETRICA
414924,ENGENHARIA DE SOFTWARE,16074,Gesiney Eldin Calanzani Blans Vavassori,ATIVO,,Bacharel,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DO GAMA,673,FACULDADE DO GAMA,,2017-02-17,112891,2016-07-11,301,,ENGENHARIA DE SOFTWARE,MATUTINO E VESPERTINO,FACULDADE DO GAMA,BACHAREL,ENGENHARIAS,FACULDADE DO GAMA
414360,ENGENHARIA ELÉTRICA,4404,EDUARDO PEIXOTO FERNANDES DA SILVA,ATIVO,,Engenheiro Eletricista,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,443,DEPTO ENGENHARIA ELETRICA,,2019-03-06,137,2015-12-30,1096,,ENGENHARIA ELETRICA,MATUTINO E VESPERTINO,DARCY RIBEIRO,ENGENHEIRO ELETRICISTA,ENGENHARIAS,DEPTO ENGENHARIA ELETRICA
414926,ENGENHARIA ELETRÔNICA,17752,MARCELINO MONTEIRO DE ANDRADE,ATIVO,,Bacharel,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DO GAMA,673,FACULDADE DO GAMA,,2020-02-19,112887,2015-12-30,1096,,ENGENHARIA ELETRONICA,MATUTINO E VESPERTINO,FACULDADE DO GAMA,BACHAREL,ENGENHARIAS,FACULDADE DO GAMA
