curso,departamento,campus,turno,area_conhecimento,grau_academico,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
CIENCIAS ECONOMICAS,DEPARTAMENTO DE ECONOMIA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,6.0,8.0,14.0,3000,901,407,418,45.17,46.39,4.91,20.39,79.61,6.39,10.06,10.0,2.06,41.4,RETENÇÃO ALTA,51,33.0,15.0,15.0,165600.0,5.66
FISICA,INSTITUTO DE FISICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS EXATAS E DA TERRA,BACHAREL,6.0,10.0,14.0,3300,1128,178,728,15.78,64.54,12.92,58.43,41.57,11.24,9.9,10.0,-0.1,41.3,RETENÇÃO ALTA,243,161.0,60.0,73.0,819600.0,21.54
LETRAS - LINGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA,INSTITUTO DE LETRAS,DARCY RIBEIRO,NOTURNO,"LINGUISTICA, LETRAS E ARTES",LICENCIADO,8.0,12.0,16.0,2550,819,210,508,25.64,62.03,16.67,73.81,26.19,10.48,11.07,11.0,-0.93,39.4,RETENÇÃO ALTA,7,4.0,3.0,1.0,19200.0,0.85
MUSICA - TROMPETE,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,8.0,10.0,2070,5,2,3,40.0,60.0,50.0,50.0,50.0,50.0,8.0,8.0,0.0,37.8,RETENÇÃO ALTA,0,,,,0.0,0.0
ARTES CENICAS,DEPARTAMENTO DE ARTES CENICAS,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",LICENCIADO,8.0,10.0,12.0,3255,445,178,234,40.0,52.58,16.85,45.51,54.49,37.64,10.76,11.0,0.76,37.3,RETENÇÃO ALTA,50,43.0,2.0,17.0,213600.0,11.24
MUSICA - VIOLINO,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,8.0,10.0,2070,13,5,7,38.46,53.85,20.0,60.0,40.0,40.0,8.6,8.0,0.6,37.2,RETENÇÃO ALTA,0,,,,0.0,0.0
MUSICA - COMPOSICAO,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,12.0,14.0,16.0,3330,36,14,21,38.89,58.33,50.0,64.29,35.71,14.29,12.57,12.5,-1.43,36.6,RETENÇÃO ALTA,0,,,,0.0,0.0
"EDUCACAO DO CAMPO - LINGUAGENS, ARTES E LITERATURA",UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,LICENCIADO,8.0,10.0,12.0,4255,300,129,162,43.0,54.0,11.63,71.32,28.68,20.16,10.48,10.0,0.48,36.5,RETENÇÃO ALTA,11,6.0,5.0,3.0,28800.0,3.67
QUIMICA TECNOLOGICA,INSTITUTO DE QUIMICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS EXATAS E DA TERRA,BACHAREL,8.0,13.0,18.0,3300,427,83,246,19.44,57.61,9.64,81.93,18.07,3.61,11.33,11.0,-1.67,36.0,RETENÇÃO ALTA,95,67.0,18.0,16.0,321600.0,22.25
LETRAS - LINGUA PORTUGUESA E RESPECTIVA LITERATURA,INSTITUTO DE LETRAS,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,10.0,14.0,3240,1597,643,850,40.26,53.22,6.38,58.16,41.84,13.37,10.44,10.0,0.44,35.7,RETENÇÃO ALTA,75,44.0,16.0,17.0,236400.0,4.7
