curso_pibic_norm,campus,linha_pesquisa_norm,total_projetos,total_remuneradas,total_voluntarias_pivic,total_cotistas,total_cotistas_ppi,total_baixa_renda,valor_total_investido,taxa_cotistas_pct,taxa_voluntario_pct
LINGUA E LITERATURA JAPONESA,DARCY RIBEIRO,ARTES E HUMANIDADE,12,5,7,7,7,3,24000.0,58.3,58.3
LETRAS - LINGUA FRANCESA E RESPECTIVA LITERATURA,DARCY RIBEIRO,ARTES E HUMANIDADE,12,4,6,3,3,0,22800.0,25.0,50.0
"EDUCACAO DO CAMPO - LINGUAGENS, ARTES E LITERATURA",FUP - PLANALTINA,ARTES E HUMANIDADE,11,6,5,3,3,1,28800.0,27.3,45.5
BIOTECNOLOGIA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,11,7,2,1,1,1,33600.0,9.1,18.2
LETRAS - LINGUA E LITERATURA JAPONESA,DARCY RIBEIRO,ARTES E HUMANIDADE,11,6,1,5,5,0,32400.0,45.5,9.1
EDUCACAO DO CAMPO - CIENCIAS DA NATUREZA,FUP - PLANALTINA,ARTES E HUMANIDADE,10,7,1,3,3,0,33600.0,30.0,10.0
CIENCIAS BIOLOGICAS,DARCY RIBEIRO,ARTES E HUMANIDADE,10,7,1,4,4,2,33600.0,40.0,10.0
LINGUA DE SINAIS BRASILEIRA/PORTUGUES COMO SEGUNDA LINGUA,DARCY RIBEIRO,ARTES E HUMANIDADE,10,3,7,3,3,0,14400.0,30.0,70.0
DESIGN - PROGRAMACAO VISUAL,DARCY RIBEIRO,ARTES E HUMANIDADE,10,6,1,6,6,1,39600.0,60.0,10.0
ARTES CENICAS - INTERPRETACAO TEATRAL,DARCY RIBEIRO,ARTES E HUMANIDADE,10,8,1,2,2,0,42000.0,20.0,10.0
LETRAS - TRADUCAO - FRANCES,DARCY RIBEIRO,ARTES E HUMANIDADE,10,7,3,3,3,2,33600.0,30.0,30.0
GEOGRAFIA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,10,7,2,5,5,4,33600.0,50.0,20.0
BACHARELADO EM ESTATISTICA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,8,3,5,2,2,1,14400.0,25.0,62.5
ENGENHARIA DE PRODUCAO,DARCY RIBEIRO,ARTES E HUMANIDADE,7,6,1,3,3,3,32400.0,42.9,14.3
SAUDE COLETIVA,FCE - CEILANDIA,ARTES E HUMANIDADE,7,7,0,3,3,0,37200.0,42.9,0.0
CIENCIAS SOCIAIS,DARCY RIBEIRO,SAUDE E VIDA,7,5,2,3,3,1,24000.0,42.9,28.6
CIENCIAS BIOLOGICAS,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,7,3,4,4,4,0,14400.0,57.1,57.1
LETRAS - LINGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA,DARCY RIBEIRO,ARTES E HUMANIDADE,7,4,3,1,1,0,19200.0,14.3,42.9
LINGUA PORTUGUESA E RESPECTIVA LITERATURA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,7,4,3,1,1,0,19200.0,14.3,42.9
ARQUIVOLOGIA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,7,5,2,3,3,2,24000.0,42.9,28.6
QUIMICA,DARCY RIBEIRO,ARTES E HUMANIDADE,7,6,1,2,2,2,28800.0,28.6,14.3
ENGENHARIA FLORESTAL,DARCY RIBEIRO,ARTES E HUMANIDADE,6,3,2,2,2,1,14400.0,33.3,33.3
ESTATISTICA,DARCY RIBEIRO,ARTES E HUMANIDADE,6,1,4,3,3,1,4800.0,50.0,66.7
ENGENHARIA DE SOFTWARE,FGA - GAMA,SAUDE E VIDA,6,3,0,3,3,3,14400.0,50.0,0.0
GESTAO DO AGRONEGOCIO,FUP - PLANALTINA,EXATAS E TECNOLOGICAS,6,4,1,2,2,2,19200.0,33.3,16.7
CIENCIA DA COMPUTACAO,DARCY RIBEIRO,ARTES E HUMANIDADE,6,5,1,2,2,1,34800.0,33.3,16.7
PSICOLOGIA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,6,5,1,3,3,3,24000.0,50.0,16.7
ENGENHARIA AMBIENTAL,DARCY RIBEIRO,ARTES E HUMANIDADE,6,4,0,3,3,0,19200.0,50.0,0.0
ENFERMAGEM,FCE - CEILANDIA,ARTES E HUMANIDADE,6,5,0,2,2,2,24000.0,33.3,0.0
MEDICINA,DARCY RIBEIRO,ARTES E HUMANIDADE,6,5,0,1,1,0,24000.0,16.7,0.0
LICENCIATURA EM CIENCIAS BIOLOGICAS,DARCY RIBEIRO,ARTES E HUMANIDADE,6,5,1,3,3,0,24000.0,50.0,16.7
LINGUA DE SINAIS BRASILEIRA -PORTUGUES COMO SEGUNDA LINGUA,DARCY RIBEIRO,ARTES E HUMANIDADE,6,3,3,2,2,1,14400.0,33.3,50.0
GESTAO DE AGRONEGOCIOS,DARCY RIBEIRO,SAUDE E VIDA,5,5,0,1,1,0,27600.0,20.0,0.0
PROJETO DO PRODUTO,DARCY RIBEIRO,ARTES E HUMANIDADE,5,4,1,3,3,0,19200.0,60.0,20.0
QUIMICA TECNOLOGICA,DARCY RIBEIRO,SAUDE E VIDA,5,4,1,0,0,0,19200.0,0.0,20.0
BACHARELADO EM ESTATISTICA,DARCY RIBEIRO,ARTES E HUMANIDADE,5,2,3,2,2,0,9600.0,40.0,60.0
CIENCIAS ECONOMICAS,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,5,2,2,0,0,0,9600.0,0.0,40.0
ESTATISTICA,DARCY RIBEIRO,SAUDE E VIDA,5,2,3,2,2,0,9600.0,40.0,60.0
FISICA,DARCY RIBEIRO,ARTES E HUMANIDADE,5,3,2,0,0,0,18000.0,0.0,40.0
FARMACIA,DARCY RIBEIRO,ARTES E HUMANIDADE,5,5,0,5,5,1,24000.0,100.0,0.0
